# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
309000 0.0106989 -0.0106989 -0.0334476 -60.0732
310000 0.00663361 -0.00663361 0.0264417 47.4905
311000 0.0140591 -0.0140591 -0.0305803 -54.9235
312000 -0.000490643 0.000490643 -0.0319642 -57.4091
313000 -0.00225452 0.00225452 0.0638666 114.707
314000 0.00784857 -0.00784857 -0.00977161 -17.5502
315000 -0.00179349 0.00179349 0.017361 31.1811
316000 -0.0243572 0.0243572 0.0906977 162.897
317000 -0.0643843 0.0643843 -0.0505463 -90.7832
318000 0.00251558 -0.00251558 0.0145875 26.1998
319000 0.0198177 -0.0198177 0.003268 5.86947
320000 0.0360351 -0.0360351 0.0287941 51.7155
321000 -0.0263216 0.0263216 0.00260507 4.67883
322000 0.0166625 -0.0166625 0.0230433 41.3867
323000 0.0158303 -0.0158303 0.00635015 11.4051
324000 -0.0134536 0.0134536 -0.0292828 -52.5932
325000 -0.0180944 0.0180944 0.0311065 55.8686
326000 0.043434 -0.043434 0.0107412 19.2916
327000 0.0466155 -0.0466155 -0.0123684 -22.2142
328000 0.00804141 -0.00804141 0.0715941 128.586
329000 0.0178127 -0.0178127 0.0352231 63.2623
330000 -0.0647084 0.0647084 -0.00811207 -14.5696
331000 -0.0766351 0.0766351 -0.0697201 -125.22
332000 0.0221788 -0.0221788 0.0413721 74.3061
333000 0.00833348 -0.00833348 -0.00857778 -15.4061
334000 0.0292192 -0.0292192 0.0649388 116.633
335000 0.0321639 -0.0321639 0.0331737 59.5813
336000 -0.00834898 0.00834898 0.034881 62.6478
337000 0.0139789 -0.0139789 -0.00633861 -11.3844
338000 -0.0613424 0.0613424 -0.0387577 -69.6105
339000 -0.0122322 0.0122322 -0.0232923 -41.834
340000 -0.016882 0.016882 0.0416957 74.8873
341000 -0.0406388 0.0406388 0.0301138 54.0857
342000 0.0342285 -0.0342285 0.0491047 88.1941
343000 0.0261851 -0.0261851 0.0340647 61.1817
344000 -0.0486619 0.0486619 -0.0423956 -76.1444
345000 -0.00628561 0.00628561 0.0109257 19.6231
346000 -0.0615986 0.0615986 -0.0389202 -69.9024
347000 0.0117379 -0.0117379 -0.0288601 -51.8339
348000 0.00848572 -0.00848572 -0.034663 -62.2562
349000 -0.0027874 0.0027874 0.0747157 134.193
350000 -0.0397751 0.0397751 0.055527 99.7289
351000 0.0169778 -0.0169778 -0.0268453 -48.2153
352000 -0.0353939 0.0353939 0.00468083 8.40696
353000 0.0181421 -0.0181421 -0.0334135 -60.0121
354000 0.0129189 -0.0129189 0.0114117 20.496
355000 0.0315561 -0.0315561 0.056476 101.433
356000 -0.00363236 0.00363236 0.0348482 62.5888
357000 -0.029458 0.029458 0.0325889 58.5311
358000 0.00547916 -0.00547916 0.0657629 118.113
359000 0.0190232 -0.0190232 -0.0925155 -166.162
360000 -0.0122241 0.0122241 0.0248452 44.623
361000 -0.00905212 0.00905212 -0.0361119 -64.8585
362000 -0.0147354 0.0147354 0.0562543 101.035
363000 0.0267168 -0.0267168 0.0655947 117.811
364000 0.0114205 -0.0114205 0.0279056 50.1196
365000 -0.0174575 0.0174575 0.0096791 17.3841
366000 -0.0039458 0.0039458 0.0297005 53.3434
367000 -0.00741842 0.00741842 0.0274927 49.3781
368000 0.0227527 -0.0227527 0.0197125 35.4046
369000 0.0210262 -0.0210262 0.00254916 4.5784
370000 -0.0264844 0.0264844 0.0306058 54.9694
371000 0.0051347 -0.0051347 -0.00342517 -6.15176
372000 0.0272502 -0.0272502 0.000738537 1.32644
373000 0.000781164 -0.000781164 0.0261444 46.9564
374000 0.0282519 -0.0282519 0.00190351 3.41878
