# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
491000 -0.00239998 0.00239998 0.00626942
492000 -0.00102813 0.00102813 0.0102118
493000 -0.00343267 0.00343267 0.0135062
494000 0.00067289 -0.00067289 0.0187314
495000 -0.00026021 0.00026021 0.0230697
496000 0.00210064 -0.00210064 0.0158729
497000 0.00426514 -0.00426514 0.018245
498000 -0.00126413 0.00126413 0.0114499
499000 0.000956772 -0.000956772 0.0198406
500000 0.0020412 -0.0020412 0.011447
501000 -0.00233561 0.00233561 0.014354
502000 0.0025286 -0.0025286 0.011211
503000 0.00192673 -0.00192673 0.0142706
504000 0.00197977 -0.00197977 0.0148629
505000 0.000247031 -0.000247031 0.0178608
506000 0.000675943 -0.000675943 0.0117681
507000 0.00185392 -0.00185392 0.00768939
508000 -0.000961175 0.000961175 0.0261053
509000 0.000356702 -0.000356702 0.0306559
510000 -0.00263226 0.00263226 0.0202648
511000 0.00181311 -0.00181311 0.0114608
512000 0.000713774 -0.000713774 0.0101258
513000 -0.000100408 0.000100408 0.016273
514000 -0.00258177 0.00258177 0.0175636
515000 0.00114805 -0.00114805 0.0140797
516000 0.000689905 -0.000689905 0.0186387
517000 0.000485202 -0.000485202 0.0167765
518000 0.00124588 -0.00124588 0.0156955
519000 0.000120021 -0.000120021 0.0123661
520000 -0.00190374 0.00190374 0.0106369
521000 0.00197412 -0.00197412 0.0170317
522000 0.00236676 -0.00236676 0.0137348
523000 0.00111871 -0.00111871 0.0190826
524000 0.000445611 -0.000445611 0.0181419
525000 -0.00302326 0.00302326 0.0148948
526000 0.00233425 -0.00233425 0.00425062
527000 -0.000835916 0.000835916 0.0112652
528000 -0.00158044 0.00158044 0.0167757
529000 0.00182842 -0.00182842 0.0138421
530000 -0.00227641 0.00227641 0.0057747
531000 0.00257186 -0.00257186 0.012979
532000 -0.000888244 0.000888244 0.0120595
533000 0.00114946 -0.00114946 0.00569446
534000 -0.00129776 0.00129776 0.00255897
535000 -0.00189211 0.00189211 0.00944234
536000 0.00100962 -0.00100962 0.00793202
537000 -2.59649e-06 2.59649e-06 0.0172776
538000 -0.000827242 0.000827242 0.0184372
539000 0.000665255 -0.000665255 0.0199352
540000 -0.00180272 0.00180272 0.024538
541000 -0.00129978 0.00129978 0.0112427
542000 -0.00354196 0.00354196 0.01581
543000 0.00237122 -0.00237122 0.00878844
544000 0.00192643 -0.00192643 0.0217088
545000 6.38154e-05 -6.38154e-05 0.0171973
546000 -0.000954859 0.000954859 0.0131449
547000 0.00268342 -0.00268342 0.0139106
548000 -0.00166616 0.00166616 0.00161221
549000 -0.00291032 0.00291032 0.00442645
550000 -0.00194071 0.00194071 0.0123524
551000 0.00035913 -0.00035913 0.00923847
552000 -0.00152554 0.00152554 0.0131951
553000 0.000200018 -0.000200018 0.0135052
554000 -0.00265475 0.00265475 0.0126684
555000 -0.00405634 0.00405634 0.0111035
556000 0.000889841 -0.000889841 0.0113132
557000 0.000985237 -0.000985237 0.0109072
558000 0.000778678 -0.000778678 0.00549562
559000 0.000503243 -0.000503243 0.00439059
560000 0.00489495 -0.00489495 0.00662147
561000 -0.00284153 0.00284153 0.00778051
562000 5.22073e-05 -5.22073e-05 0.00363654
563000 -0.00335133 0.00335133 0.01029
564000 -0.00173284 0.00173284 0.00748928
565000 0.00129104 -0.00129104 0.0153117
566000 0.00239344 -0.00239344 0.0119207
567000 -7.96405e-05 7.96405e-05 0.00941475
568000 3.60502e-05 -3.60502e-05 0.00646304
569000 -0.00169981 0.00169981 0.0048438
570000 0.00456827 -0.00456827 0.0168903
571000 -0.000372959 0.000372959 0.00888307
572000 0.00285745 -0.00285745 0.0140443
573000 -0.00189722 0.00189722 0.0140254
574000 -0.000760099 0.000760099 0.00298071
575000 0.000756831 -0.000756831 0.00980453
576000 0.00150082 -0.00150082 0.0114208
577000 0.00197498 -0.00197498 0.0110229
578000 -0.00161706 0.00161706 0.003498
579000 0.00143132 -0.00143132 0.00772137
580000 -0.000547866 0.000547866 0.016016
581000 -0.0034886 0.0034886 0.0154442
582000 0.00261537 -0.00261537 0.0128857
583000 0.00237552 -0.00237552 0.0132823
584000 0.000835068 -0.000835068 0.0249686
585000 -0.00177979 0.00177979 0.0165422
586000 0.00133493 -0.00133493 0.0149516
587000 -0.000553461 0.000553461 0.0173845
588000 -0.000265897 0.000265897 0.0290575
589000 -0.000954152 0.000954152 0.0305383
590000 -0.00180527 0.00180527 0.0169165
591000 0.00117438 -0.00117438 0.0179581
592000 -0.00129133 0.00129133 0.0216379
593000 -0.00112074 0.00112074 0.0174747
594000 -0.000437109 0.000437109 0.0191983
595000 -0.0012785 0.0012785 0.0165981
596000 0.0023253 -0.0023253 0.0114713
597000 0.00249154 -0.00249154 0.00689961
598000 0.000370597 -0.000370597 0.00962968
599000 -0.00275181 0.00275181 0.0141057
600000 0.000305461 -0.000305461 0.0209777
601000 0.00142135 -0.00142135 0.0195215
602000 -0.000137202 0.000137202 0.0188686
603000 0.000778468 -0.000778468 0.0168726
604000 0.000659926 -0.000659926 0.0145087
605000 0.00146419 -0.00146419 0.0124717
606000 -0.00132492 0.00132492 0.00630711
607000 -0.0015164 0.0015164 0.00451725
608000 -0.00179811 0.00179811 0.00518168
609000 0.000659763 -0.000659763 0.00693087
610000 0.00272285 -0.00272285 0.00119129
611000 -0.00108713 0.00108713 0.0103733
612000 0.00140145 -0.00140145 0.0169466
613000 -0.000990218 0.000990218 0.00769742
614000 -0.00144131 0.00144131 0.0122497
615000 -0.00122658 0.00122658 0.0110073
